"V1","V2"
"Fredi Alder","Jacqueline Fehr"
"Hans Zbinden","Jacqueline Fehr"
"Hildegard Fässler-Osterwalder","Jacqueline Fehr"
"Claude Frey","Jacques-Simon Eggly"
"Hans Fehr","Jacques-Simon Eggly"
"Albrecht Rychen","Jakob Freund"
"Ernst Hasler","Jakob Freund"
"Hans Fehr","Jakob Freund"
"Hans Werner Widrig","Jakob Freund"
"Christian Grobet","Jean Spielmann"
"Christiane Jaquet-Berger","Jean Spielmann"
"Didier Berberat","Jean Spielmann"
"Flavio Maspoli","Jean Spielmann"
"François Borel","Jean Spielmann"
"Christiane Jaquet-Berger","Jean Ziegler"
"Claude Frey","Jean Ziegler"
"Didier Berberat","Jean Ziegler"
"Jacqueline Fehr","Jean Ziegler"
"Adalbert Durrer","Jean-Charles Simon"
"Daniel Vogel","Jean-Charles Simon"
"Dumeni Columberg","Jean-Charles Simon"
"Flavio Maspoli","Jean-Charles Simon"
"François Lachat","Jean-Charles Simon"
"Hans Fehr","Jean-Charles Simon"
"Hansueli Raggenbass","Jean-Charles Simon"
"Hubert Lauper","Jean-Charles Simon"
"Agnes Weber","Jean-Claude Rennwald"
"Alexander Tschäppät","Jean-Claude Rennwald"
"Andreas Gross","Jean-Claude Rennwald"
"Angeline Fankhauser","Jean-Claude Rennwald"
"Anita Thanei","Jean-Claude Rennwald"
"Armin Jans","Jean-Claude Rennwald"
"Barbara Geiser","Jean-Claude Rennwald"
"Barbara Haering","Jean-Claude Rennwald"
"Boris Banga","Jean-Claude Rennwald"
"Christian Grobet","Jean-Claude Rennwald"
"Christiane Jaquet-Berger","Jean-Claude Rennwald"
"Christine Goll","Jean-Claude Rennwald"
"Christine Keller","Jean-Claude Rennwald"
"Claude Frey","Jean-Claude Rennwald"
"Didier Berberat","Jean-Claude Rennwald"
"Ernst Leuenberger","Jean-Claude Rennwald"
"Erwin Jutzet","Jean-Claude Rennwald"
"Francine Jeanprêtre","Jean-Claude Rennwald"
"François Borel","Jean-Claude Rennwald"
"Fredi Alder","Jean-Claude Rennwald"
"Hansueli von Allmen","Jean-Claude Rennwald"
"Hildegard Fässler-Osterwalder","Jean-Claude Rennwald"
"Jacqueline Fehr","Jean-Claude Rennwald"
"Jean Spielmann","Jean-Claude Rennwald"
"Jean Ziegler","Jean-Claude Rennwald"
"Flavio Maspoli","Jean-François Leuba"
"Flavio Maspoli","Jean-Jérôme Filliez"
"Hansueli Raggenbass","Jean-Jérôme Filliez"
"Jean-Charles Simon","Jean-Jérôme Filliez"
"Adriano Cavadini","Jean-Michel Gros"
"Albrecht Rychen","Jean-Michel Gros"
"Bernard Comby","Jean-Michel Gros"
"Brigitta M. Gadient","Jean-Michel Gros"
"Cécile Bühlmann","Jean-Michel Gros"
"Charles Friderici","Jean-Michel Gros"
"Charles-Albert Antille","Jean-Michel Gros"
"Christiane Langenberger","Jean-Michel Gros"
"Christoph Eymann","Jean-Michel Gros"
"Claude Frey","Jean-Michel Gros"
"Flavio Maspoli","Jean-Michel Gros"
"Franco Cavalli","Jean-Michel Gros"
"François Loeb","Jean-Michel Gros"
"Georg Stucky","Jean-Michel Gros"
"Hans Fehr","Jean-Michel Gros"
"Jacques-Simon Eggly","Jean-Michel Gros"
"Jean-Charles Simon","Jean-Michel Gros"
"Albrecht Rychen","Jean-Nicolas Philipona"
"Claude Frey","Jean-Nicolas Philipona"
"François Loeb","Jean-Nicolas Philipona"
"Hans Fehr","Jean-Nicolas Philipona"
"Hans Rudolf Gysin","Jean-Nicolas Philipona"
"Alexander Tschäppät","Jean-Nils de Dardel"
"Andrea Hämmerle","Jean-Nils de Dardel"
"Andreas Gross","Jean-Nils de Dardel"
"Angeline Fankhauser","Jean-Nils de Dardel"
"Anita Thanei","Jean-Nils de Dardel"
"Armin Jans","Jean-Nils de Dardel"
"Barbara Haering","Jean-Nils de Dardel"
"Christian Grobet","Jean-Nils de Dardel"
"Christiane Jaquet-Berger","Jean-Nils de Dardel"
"Christine Keller","Jean-Nils de Dardel"
"Didier Berberat","Jean-Nils de Dardel"
"François Borel","Jean-Nils de Dardel"
"Hans Zbinden","Jean-Nils de Dardel"
"Jacqueline Fehr","Jean-Nils de Dardel"
"Jean-Claude Rennwald","Jean-Nils de Dardel"
"Jean-Michel Gros","Jean-Nils de Dardel"
"Flavio Maspoli","Jean-Philippe Maitre"
"Hansueli Raggenbass","Jean-Philippe Maitre"
"Jean-Charles Simon","Jean-Philippe Maitre"
"Jean-Michel Gros","Jean-Philippe Maitre"
"Albrecht Rychen","Jean-Pierre Bonny"
"Claude Frey","Jean-Pierre Bonny"
"Hans Fehr","Jean-Pierre Bonny"
"Hans Rudolf Gysin","Jean-Pierre Bonny"
"Jean-Michel Gros","Jean-Pierre Bonny"
"Albrecht Rychen","Johannes Randegger"
"Christine Egerszegi-Obrist","Johannes Randegger"
"Hans Fehr","Johannes Randegger"
"Andreas Gross","John Dupraz"
"Claude Frey","John Dupraz"
"Didier Berberat","John Dupraz"
"François Loeb","John Dupraz"
"Hans Rudolf Gysin","John Dupraz"
"Jean-Charles Simon","John Dupraz"
"Jean-Michel Gros","John Dupraz"
"Albrecht Rychen","Josef Kühne"
"Flavio Maspoli","Josef Kühne"
"Hans Fehr","Josef Kühne"
"Hans Rudolf Gysin","Josef Kühne"
"Hans Werner Widrig","Josef Kühne"
"Hansueli Raggenbass","Josef Kühne"
"Caspar Baader","Josef Kunz"
"Charles Friderici","Josef Kunz"
"Christian Speck","Josef Kunz"
"Emmanuella Blaser","Josef Kunz"
"Ernst Hasler","Josef Kunz"
"Flavio Maspoli","Josef Kunz"
"Georg Stucky","Josef Kunz"
"Hans Fehr","Josef Kunz"
"Hans Rudolf Gysin","Josef Kunz"
"J. Alexander Baumann","Josef Kunz"
"Jakob Freund","Josef Kunz"
"Jean-Michel Gros","Josef Kunz"
"Hans Fehr","Josef Leu"
"Hans Rudolf Gysin","Josef Leu"
"Hansueli Raggenbass","Josef Leu"
"Jean-Charles Simon","Josef Leu"
"Hans Werner Widrig","Josef Lötscher"
"Hansueli Raggenbass","Josef Lötscher"
"Didier Berberat","Josef Zisyadis"
"Hans Rudolf Gysin","Joseph Deiss"
"Hansueli Raggenbass","Joseph Deiss"
"Jean-Charles Simon","Joseph Deiss"
"Adalbert Durrer","Jost Gross"
"Albrecht Rychen","Jost Gross"
"Alexander Tschäppät","Jost Gross"
"Andrea Hämmerle","Jost Gross"
"Andreas Gross","Jost Gross"
"Andreas Herczog","Jost Gross"
"Angeline Fankhauser","Jost Gross"
"Anita Thanei","Jost Gross"
"Armin Jans","Jost Gross"
"Barbara Haering","Jost Gross"
"Boris Banga","Jost Gross"
"Brigitta M. Gadient","Jost Gross"
"Cécile Bühlmann","Jost Gross"
"Christian Grobet","Jost Gross"
"Christiane Jaquet-Berger","Jost Gross"
"Christine Egerszegi-Obrist","Jost Gross"
"Christine Goll","Jost Gross"
"Christine Keller","Jost Gross"
"Christoph Eymann","Jost Gross"
"Didier Berberat","Jost Gross"
"Doris Stump","Jost Gross"
"Elmar Ledergerber","Jost Gross"
"Ernst Leuenberger","Jost Gross"
"Eugen David","Jost Gross"
"Francine Jeanprêtre","Jost Gross"
"Franco Cavalli","Jost Gross"
"François Borel","Jost Gross"
"Franziska Teuscher","Jost Gross"
"Fredi Alder","Jost Gross"
"Hans Rudolf Gysin","Jost Gross"
"Hans Zbinden","Jost Gross"
"Hanspeter Thür","Jost Gross"
"Hansueli von Allmen","Jost Gross"
"Hildegard Fässler-Osterwalder","Jost Gross"
"Jacqueline Fehr","Jost Gross"
"Jean Spielmann","Jost Gross"
"Andreas Gross","Judith Stamm"
"Hansueli Raggenbass","Judith Stamm"
"Christian Speck","Jürg Scherrer"
"Christian Waber","Jürg Scherrer"
"Christoph Blocher","Jürg Scherrer"
"Claude Frey","Jürg Scherrer"
"Duri Bezzola","Jürg Scherrer"
"Emmanuella Blaser","Jürg Scherrer"
"Ernst Hasler","Jürg Scherrer"
"Flavio Maspoli","Jürg Scherrer"
"Fritz Abraham Oehrli","Jürg Scherrer"
"Georg Stucky","Jürg Scherrer"
"Hans Fehr","Jürg Scherrer"
"Hans Ruckstuhl","Jürg Scherrer"
"Hans Rudolf Gysin","Jürg Scherrer"
"Hanspeter Seiler","Jürg Scherrer"
